Source	Target	Interaction	Interaction_magnitude_log
B_ovatus	B_cellulosilyticus_WH2	-	-11.203337636083202
B_uniformis	B_cellulosilyticus_WH2	+	-10.240178376074105
P_distasonis	B_cellulosilyticus_WH2	+	-9.176282059838774
R_obeum	B_cellulosilyticus_WH2	+	-9.695853667828686
B_caccae	B_cellulosilyticus_WH2	+	-8.917964656335633
B_thetaiotaomicron	B_cellulosilyticus_WH2	+	-8.917993763456238
B_vulgatus	B_cellulosilyticus_WH2	+	-9.009347721345978
C_aerofaciens	B_cellulosilyticus_WH2	+	-8.893117597598087
C_scindens	B_cellulosilyticus_WH2	+	-8.913921296193138
D_longicatena	B_cellulosilyticus_WH2	+	-8.91000079596227
C_spiroforme	B_cellulosilyticus_WH2	+	-9.335141059591962
B_cellulosilyticus_WH2	B_ovatus	+	-9.940814361008139
B_uniformis	B_ovatus	+	-10.100391083487198
P_distasonis	B_ovatus	+	-9.120350753295618
R_obeum	B_ovatus	+	-9.51262113142668
B_caccae	B_ovatus	+	-8.929247379523337
B_thetaiotaomicron	B_ovatus	+	-8.928271145215943
B_vulgatus	B_ovatus	+	-8.97014339958179
C_aerofaciens	B_ovatus	+	-8.871432444289507
C_scindens	B_ovatus	+	-8.919228096193002
D_longicatena	B_ovatus	+	-8.892157742071598
C_spiroforme	B_ovatus	+	-9.339776992662557
B_cellulosilyticus_WH2	B_uniformis	+	-9.96578029448888
B_ovatus	B_uniformis	+	-11.074800356126625
P_distasonis	B_uniformis	+	-9.16591601172363
R_obeum	B_uniformis	+	-9.616820855315451
B_caccae	B_uniformis	+	-8.905863585056792
B_thetaiotaomicron	B_uniformis	+	-8.904845672719802
B_vulgatus	B_uniformis	+	-8.974963716131613
C_aerofaciens	B_uniformis	+	-8.88325186367935
C_scindens	B_uniformis	+	-8.898765040049776
D_longicatena	B_uniformis	+	-8.905773968245908
C_spiroforme	B_uniformis	+	-9.315544530341494
B_cellulosilyticus_WH2	P_distasonis	-	-9.082607633143772
B_ovatus	P_distasonis	-	-9.072274198769447
B_uniformis	P_distasonis	-	-9.0816157459474
R_obeum	P_distasonis	-	-9.174257716989976
B_caccae	P_distasonis	+	-9.083355047945881
B_thetaiotaomicron	P_distasonis	+	-9.08351324070013
B_vulgatus	P_distasonis	+	-9.314790819608932
C_aerofaciens	P_distasonis	+	-9.1741882138431
C_scindens	P_distasonis	+	-9.083847228083739
D_longicatena	P_distasonis	+	-9.224966365384844
C_spiroforme	P_distasonis	+	-9.507641955769136
B_cellulosilyticus_WH2	R_obeum	-	-10.402055100701089
B_ovatus	R_obeum	-	-10.247824489534068
B_uniformis	R_obeum	-	-10.294072536117463
P_distasonis	R_obeum	+	-9.251073776244242
B_caccae	R_obeum	+	-8.911525077131024
B_thetaiotaomicron	R_obeum	+	-8.909636157241877
B_vulgatus	R_obeum	+	-9.033940554522307
C_aerofaciens	R_obeum	+	-8.939273942397671
C_scindens	R_obeum	+	-8.909515719830047
D_longicatena	R_obeum	+	-8.96461329524467
C_spiroforme	R_obeum	+	-9.347463350241599
B_cellulosilyticus_WH2	B_caccae	-	-8.608688777469506
B_ovatus	B_caccae	-	-8.58873373312203
B_uniformis	B_caccae	-	-8.61403423383931
P_distasonis	B_caccae	-	-8.898535232075412
R_obeum	B_caccae	-	-8.69964392550389
B_thetaiotaomicron	B_caccae	-	-11.404081000636642
B_vulgatus	B_caccae	-	-9.172432802638188
C_aerofaciens	B_caccae	-	-9.844504790862215
C_scindens	B_caccae	-	-11.25149084274602
D_longicatena	B_caccae	-	-9.542444594183552
C_spiroforme	B_caccae	-	-11.366960488930795
B_cellulosilyticus_WH2	B_thetaiotaomicron	-	-8.611237758447288
B_ovatus	B_thetaiotaomicron	-	-8.591129240108815
B_uniformis	B_thetaiotaomicron	-	-8.615284144964166
P_distasonis	B_thetaiotaomicron	-	-8.900462103504141
R_obeum	B_thetaiotaomicron	-	-8.699461039085225
B_caccae	B_thetaiotaomicron	+	-11.913661787794572
B_vulgatus	B_thetaiotaomicron	-	-9.1757614299282
C_aerofaciens	B_thetaiotaomicron	-	-9.860185080827083
C_scindens	B_thetaiotaomicron	-	-11.384751161266735
D_longicatena	B_thetaiotaomicron	-	-9.550147310708851
C_spiroforme	B_thetaiotaomicron	-	-11.332987989152967
B_cellulosilyticus_WH2	B_vulgatus	-	-8.840200904557124
B_ovatus	B_vulgatus	-	-8.833479568549036
B_uniformis	B_vulgatus	-	-8.847755409214118
P_distasonis	B_vulgatus	-	-9.21992485485539
R_obeum	B_vulgatus	-	-8.935418111815576
B_caccae	B_vulgatus	+	-9.45093432351317
B_thetaiotaomicron	B_vulgatus	+	-9.449797301712598
C_aerofaciens	B_vulgatus	+	-9.662538663831375
C_scindens	B_vulgatus	+	-9.451785567449914
D_longicatena	B_vulgatus	+	-9.793553707515992
C_spiroforme	B_vulgatus	+	-9.83666569447939
B_cellulosilyticus_WH2	C_aerofaciens	-	-8.663563154161631
B_ovatus	C_aerofaciens	-	-8.653343761298132
B_uniformis	C_aerofaciens	-	-8.664624957699264
P_distasonis	C_aerofaciens	-	-8.95837889532438
R_obeum	C_aerofaciens	-	-8.73623562757462
B_caccae	C_aerofaciens	+	-9.745475659624894
B_thetaiotaomicron	C_aerofaciens	+	-9.743101352607898
B_vulgatus	C_aerofaciens	-	-9.308917029410877
C_scindens	C_aerofaciens	+	-9.74881140728588
D_longicatena	C_aerofaciens	-	-9.95515959297511
C_spiroforme	C_aerofaciens	+	-10.131413703702036
B_cellulosilyticus_WH2	C_scindens	-	-8.608587365554664
B_ovatus	C_scindens	-	-8.590277219754103
B_uniformis	C_scindens	-	-8.614651152206461
P_distasonis	C_scindens	-	-8.900087570057172
R_obeum	C_scindens	-	-8.69821955558501
B_caccae	C_scindens	+	-11.465610585189811
B_thetaiotaomicron	C_scindens	+	-13.083776463374658
B_vulgatus	C_scindens	-	-9.177299231911979
C_aerofaciens	C_scindens	-	-9.862492982406355
D_longicatena	C_scindens	-	-9.554845514578588
C_spiroforme	C_scindens	-	-11.639563187333389
B_cellulosilyticus_WH2	D_longicatena	-	-8.686534130304432
B_ovatus	D_longicatena	-	-8.675288395823172
B_uniformis	D_longicatena	-	-8.6891955385646
P_distasonis	D_longicatena	-	-9.049164875307797
R_obeum	D_longicatena	-	-8.763943156205087
B_caccae	D_longicatena	+	-9.492837845343063
B_thetaiotaomicron	D_longicatena	+	-9.506593631542586
B_vulgatus	D_longicatena	-	-9.516171591777258
C_aerofaciens	D_longicatena	+	-9.756980270893367
C_scindens	D_longicatena	+	-9.492355753152202
C_spiroforme	D_longicatena	+	-9.803735951738782
B_cellulosilyticus_WH2	C_spiroforme	-	-7.019354577093271
B_ovatus	C_spiroforme	-	-7.013991480423715
B_uniformis	C_spiroforme	-	-7.027326874864287
P_distasonis	C_spiroforme	-	-7.187014856019822
R_obeum	C_spiroforme	-	-7.091710010095007
B_caccae	C_spiroforme	-	-7.540883580455895
B_thetaiotaomicron	C_spiroforme	-	-7.533335342173633
B_vulgatus	C_spiroforme	-	-7.297758853812453
C_aerofaciens	C_spiroforme	-	-7.455155116734408
C_scindens	C_spiroforme	-	-7.5386851071493775
D_longicatena	C_spiroforme	-	-7.374270356450086
