sampleID	measurement1	measurement2
01-01	8097579.61661941	8536465.8116019
01-02	29727973.8855468	56141273.2980376
01-03	41290040113.6863	64235676191.7848
01-05	29813632146.1317	65875384712.5113
01-07	16477705228.6958	71049070088.9006
01-10	36664874854.7068	62378985174.2013
01-12	45232566585.6605	23205043819.9815
01-13	151607834065.615	382576130495.652
01-15	4096267649.9347	10337140648.6628
01-16	96172168318.3464	171834286165.966
01-17	205524335505.795	67550021795.9975
01-19	60558362970.2339	131404270275.096
01-21	91639598819.6569	142055911312.306
01-25	43242325772.8369	65089446895.7818
01-26	74259662634.1006	116235733670.362
01-27	143630016587.815	208415609343.689
01-29	89980137212.24	108978701111.479
01-30	55936838438.4806	83114080565.9185
01-31	63820889495.6752	96676954233.4679
01-33	142962109861.153	135142386145.221
01-35	220169225575.799	164956099752.554
01-38	3134399726.47683	7570235003.34143
01-40	15867908408.6187	17650644345.7662
01-41	339868862734.173	118287277577.49
01-42	25206515656.4558	16295107582.3727
02-01	338301306659.859	376526767719.623
02-02	138056808192.332	171631694275.745
02-03	148534736585.357	125946712928.287
02-05	207677495441.833	318158262068.874
02-07	106485075340.273	207344906506.627
02-10	136222329854.883	135568054061.925
02-12	134498186193.025	110551288334.489
02-13	181893966582.632	217267383880.463
02-15	33828915998.9272	65197173727.8134
02-16	56948032511.988	101208394204.994
02-17	81021152717.6362	118406981768.12
02-19	91848937099.7902	146434727666.104
02-21	11421116251.8822	24200245623.9411
02-25	42832166048.3294	57391824083.5347
02-26	49234505957.0616	107087810892.884
02-27	72178820630.7487	92113076663.3167
02-29	15919674580.2094	29030089468.2266
02-30	12379777544.7487	12837685830.3078
02-31	16698034672.5742	20311933571.8991
02-33	17427625601.4055	32965852668.0889
02-35	14672546925.1458	14137963828.2598
02-38	9901020987.32288	13896822731.4185
02-40	12691494913.1337	16873397206.7189
02-41	31046265445.9884	42387500795.5235
02-42	45485919941.9315	67572063847.6398
03-01	17691156654.74	41790281503.752
03-02	18402114965.1985	29286254282.7874
03-03	14073183971.5113	23596253440.2694
03-05	8229638304.76992	32901375189.2528
03-07	17929365519.0067	26160143175.0083
03-10	25913718155.5916	11332185333.8285
03-12	6842636329.84178	11864112528.8305
03-13	18596443026.497	59729122085.2242
03-15	41973344114.2307	36769092519.8888
03-16	36985979275.0104	40700420862.1256
03-17	109837332975.415	222684199159.652
03-19	49040509918.2865	69001767007.2125
03-21	66646977419.6006	68109926376.1334
03-25	65989219216.0037	104329133741.555
03-26	69844309712.4827	93298030323.1181
03-27	105897121851.215	147413703058.773
03-29	24374766970.7044	21103485853.6269
03-30	340071530615.808	105264027095.673
03-31	32607459918.3571	37443749499.7405
03-33	62889636355.1752	82189460771.4013
03-35	145483357093.88	290359107560.749
03-38	5752414612.28914	11342357506.6735
03-40	70238452837.8773	101239202231.644
03-41	244303816228.653	307758362432.747
03-42	63940635036.2819	24028686833.0957
04-01	131202753593.846	202878593797.378
04-02	59563252958.9987	136371020165.875
04-03	16306635.4466315	18837859.5518176
04-05	2427086251.5682	2657265381.30027
04-07	39548527671.2441	80474378763.5456
04-10	63216736967.0549	44347783303.204
04-12	36310643721.6962	79980366037.9971
04-13	67803999238.3832	80553339705.0084
04-15	52293408810.2526	106854586601.095
04-16	55829601178.6587	111450767540.691
04-17	18636078434.8415	27555911728.8516
04-19	111232485832.335	171667922083.212
04-21	55135410586.573	92044524281.4617
04-25	34022161688.6112	63159233425.4208
04-26	52215968378.6555	75363523208.6559
04-27	22922524953.4772	46544335516.1301
04-29	151663545922.354	70382348071.6091
04-30	89256525135.155	173649448556.163
04-31	329993470727.612	143728740072.959
04-33	79532682289.3845	118388697990.952
04-35	515925902762.978	413879885172.335
04-38	272174793987.869	402045089268.741
04-40	9364976956.65973	8018814923.14718
04-41	33472811063.0686	40188636011.6655
04-42	250067485581.18	247210693563.425
05-01	67778814569.3378	152200221625.267
05-02	263287315213.63	332403260841.282
05-03	280634795314.427	202927737151.015
05-05	127193454007.846	218556788073.99
05-07	136275941022.323	280962698467.335
05-10	67835565713.7601	89136404951.7556
05-12	139880265855.401	356556365786.155
05-13	182855772250.335	292974511669.177
05-15	204354988157.849	83166027041.6353
05-16	54848680457.6318	38603114700.0782
05-17	47277340086.8274	61964996641.0904
05-19	51842146274.6265	76842491887.3428
05-21	8789862274.90607	14272595703.0613
05-25	54539167390.6411	153266535336.278
05-26	83377032911.178	147765962549.853
05-27	80198158181.7277	63666898149.4403
05-29	19174521066.7664	45132136822.8485
05-30	27310256565.1272	9790780875.40144
05-31	21273693001.2417	56174608813.0741
05-33	102571037717.019	113628396689.643
05-35	28556261159.623	34660935543.3522
05-38	26577636530.4254	45905710800.7707
05-40	9967287903.28048	23827311972.5781
05-41	19836330311.1077	46919573275.586
05-42	10620520882.5593	18214007637.7543
06-01	48316798165.1025	48357223459.4125
06-02	34542296863.415	38340355669.2199
06-03	9680789489.83652	18170867759.4424
06-05	53104521353.7375	91048937417.1729
06-07	30225086209.8204	55445539783.3065
06-10	10568461765.1198	13510545660.0425
06-12	4420050606.86623	6450838206.83103
06-13	25123892040.3748	15012157870.6397
06-15	48142541421.7978	91799759092.8318
06-16	45284392140.9171	84462312666.8538
06-17	96863642011.9255	239540576290.787
06-19	170161355934.288	176124713227.967
06-21	138797814935.012	388014770512.985
06-25	152014815228.507	229939963588.285
06-26	270827545162.436	151980918359.956
06-27	47671105860.8496	65744486695.667
06-29	60289609631.9058	46726905169.5713
06-30	117497257805.151	168504725006.075
06-31	98583752483.4833	127535908233.836
06-33	93747288143.8248	190328625522.455
06-35	310024402422.599	243958772589.478
06-38	32080195171.851	50813227798.8363
06-40	118309900990.274	203515393194.646
06-41	128640496190.261	246767681967.468
06-42	55552984935.1276	81116391666.5213
07-01	99794370655.848	167858817180.54
07-02	66398430002.4606	79537657523.3797
07-03	3234545.74142511	6191312.03392561
07-05	39501640.1208825	25256051.4321287
07-07	102353644677.422	155902392892.162
07-10	47753674879.0655	83301950314.0943
07-12	63508832024.5631	92731729112.7621
07-13	33208488799.6222	45643772606.1821
07-15	38773253675.9236	61890002478.1704
07-16	15035314732.0318	29560939680.426
07-17	10286138745.8608	22160616078.9548
07-19	25179208584.0092	74769857567.2651
07-21	40254881260.4985	56359342569.0413
07-25	41416826861.5791	60066753323.3994
07-26	39684137266.8104	40454651406.4153
07-27	72188010818.3658	130692644727.298
07-29	63835950228.3247	150958501348.336
07-30	55885857818.2686	93724114544.9638
07-31	81546146975.8632	104904537559.544
07-33	100578499420.589	150261346412.149
07-35	493590779177.781	456885584676.691
07-38	152798473306.145	182881269997.848
07-40	14881136911.4207	28600233381.6049
07-41	13077607911.2722	12623084950.9703
07-42	420584222935.626	294949555296.861
08-01	134951473715.461	177662500934.709
08-02	250852994609.98	440409288007.072
08-03	175898320988.189	231735251675.676
08-05	142625757291.131	231872927906.938
08-07	128442058474.77	106827527804.952
08-10	185587780109.101	182205674650.413
08-12	129374526627.949	246773666584.382
08-13	77861359075.8837	139709193426.569
08-15	50430745621.2161	81400221799.1588
08-16	153508669410.123	229618406870.993
08-17	30712533375.8536	46463420175.6123
08-19	145316476243.789	160530091694.105
08-21	133498853971.996	199443095203.452
08-25	18803405926.1732	45422733906.6315
08-26	18877013321.021	34107727704.4759
08-27	56396432703.5609	105267344264.903
08-29	186725158830.996	136578790237.268
08-30	76755290077.4312	29880230153.3942
08-31	10789276773.469	15734448470.539
08-33	22310508540.6061	26193191725.3452
08-35	24840434691.426	22508857571.3635
08-38	18250717731.4199	29960318123.0949
08-40	49320379833.3376	19054331076.0725
08-41	13646944991.376	27701452949.7294
08-42	12864039449.0423	19857060889.7766
09-01	104499357952.934	42382158436.6575
09-02	25556017680.9734	66893514529.4249
09-03	9549961807.6331	20230793374.8906
09-05	14481735374.3096	26209658718.3443
09-07	13048880444.5165	35979465570.367
09-10	18013803989.5272	24487565874.1822
09-12	26202918982.4557	31840971677.5668
09-13	54088804504.3633	21159408233.5029
09-15	16044130372.2529	29199498130.3891
09-16	15006289769.319	30280609833.413
09-17	50334717894.4905	19727013274.8083
09-19	148956159625.04	91696632165.9297
09-21	112114563350.719	160212539011.329
09-25	77846474908.2845	99298696538.4471
09-26	62933220558.668	105202909376.598
09-27	22270402719.3655	45259261670.7562
09-29	46414490359.8499	80364682027.6863
09-30	21337215986.1441	33453983627.9188
09-31	91908488150.7944	140462024089.043
09-33	55411591533.5592	94722640848.8176
09-35	58984297250.6081	111197859946.279
09-38	201823339321.404	163622942041.528
09-40	28465244246.6188	76653760710.6959
09-41	64590185582.0511	113643971631.629
09-42	65127613386.3938	124185054857.818
10-01	48248300248.307	69480859054.5112
10-02	12937352947.1364	13096093697.3613
10-03	218493488416.235	371157613990.291
10-05	33351031.0214277	67423006.3141979
10-07	13459412401.3853	16631393060.8609
10-10	33579819136.9817	55148828659.8594
10-12	33396199933.2816	126663845334.381
10-13	72715198432.6242	26890153122.7305
10-15	34488803075.0212	78434509050.7402
10-16	24657053716.7692	62361979069.4796
10-17	43522018667.0559	72076358243.6898
10-19	17530945215.0702	36873057918.0314
10-21	58869534986.331	81589693410.5766
10-25	86548889943.8143	120714316623.209
10-26	66262479720.7694	87548671550.2658
10-27	107943549551.153	114232849505.327
10-29	50902167578.4549	73800022067.3714
10-30	99297584729.253	150744273641.53
10-31	67251631547.0903	67076539193.3725
10-33	102182118651.125	62990602504.735
10-35	53236022758.5947	86471523392.5355
10-38	131604388401.45	221778838033.178
10-40	122086783868.395	473748884840.839
10-41	171299135317.75	140473026045.6
10-42	25229238547.6206	36623836575.1605
11-01	20429162437.5235	41237030074.6582
11-02	188691218596.087	304725887486.103
11-03	185756644700.22	224457458119.841
11-05	104851907664.215	58127971812.0219
11-07	232276202004.253	268180662971.899
11-10	242862600656.182	271440158539.576
11-12	138329628745.027	162994899409.2
11-13	158175668664.712	87253038649.1106
11-15	157070056987.08	185964404218.265
11-16	148183427449.911	224815212264.665
11-17	114116045511.139	212591047536.242
11-19	60472647459.883	106512351515.873
11-21	192183463747.15	78707621449.0937
11-25	68054370911.848	115576000610.856
11-26	89687717446.4569	135925001442.092
11-27	59342086999.5197	105590374588.625
11-29	154915159110.276	178652985826.68
11-30	33889860205.3809	62455455846.4635
11-31	51420412454.809	68379725459.3452
11-33	15692838968.0225	21867469021.2075
11-35	16236442755.08	27725949064.5012
11-38	8036552516.59633	25758695716.5731
11-40	43572954971.2365	44544390890.5293
11-41	30440009382.1253	14063468734.4486
11-42	27871155876.2967	39700816736.3941
12-01	15169928208.9286	35845203354.3652
12-02	25829131095.5462	14379176276.9974
12-03	17358299591.3352	25545492362.9997
12-05	38673251331.8273	65895561609.5377
12-07	22472169831.9047	13785678969.2055
12-10	36875696703.8306	14249895860.7607
12-12	43652771551.2044	46296033106.5568
12-13	15916338471.6304	9091024681.58081
12-15	16176108122.9131	39690892192.8967
12-16	10543448733.1975	21310077240.6667
12-17	20704900835.6359	44422474438.806
12-19	12481424096.7166	14137014376.4133
12-21	3367723349.10735	4332127167.16242
12-25	42111271891.5435	57489534196.7578
12-26	48594445603.6968	90896970424.9789
12-27	114228125696.192	200929144418.176
12-29	240818365726.204	300394639826.227
12-30	51234063163.1518	117200297537.339
12-31	113172933841.261	105818516900.138
12-33	36009720653.1827	63945938779.7269
12-35	54900239765.1069	103708617394.589
12-38	130483779731.79	72915135752.8864
12-40	91537618935.3925	142633725573.285
12-41	104562873961.67	116752263739.724
12-42	53811568832.1906	59533375547.3362
13-01	61864359019.5524	117617965772.192
13-02	56401672660.1751	112417270871.923
13-03	58510286696.3937	78810305332.1918
13-05	24516193361.5728	54736700180.9469
13-07	50886522819.8901	64139017664.9085
13-10	67835565713.7601	89136404951.7556
13-12	139880265855.401	356556365786.155
13-13	182855772250.335	292974511669.177
13-15	204354988157.849	83166027041.6353
13-16	54848680457.6318	38603114700.0782
13-17	47277340086.8274	61964996641.0904
13-19	51842146274.6265	76842491887.3428
13-21	8789862274.90607	14272595703.0613
13-25	54539167390.6411	153266535336.278
13-26	83377032911.178	147765962549.853
13-27	80198158181.7277	63666898149.4403
13-29	19174521066.7664	45132136822.8485
13-30	27310256565.1272	9790780875.40144
13-31	21273693001.2417	56174608813.0741
13-33	102571037717.019	113628396689.643
13-35	28556261159.623	34660935543.3522
13-38	26577636530.4254	45905710800.7707
13-40	9967287903.28048	23827311972.5781
13-41	19836330311.1077	46919573275.586
13-42	10620520882.5593	18214007637.7543
14-01	48316798165.1025	48357223459.4125
14-02	34542296863.415	38340355669.2199
14-03	9680789489.83652	18170867759.4424
14-05	53104521353.7375	91048937417.1729
14-07	30225086209.8204	55445539783.3065
14-10	10568461765.1198	13510545660.0425
14-12	4420050606.86623	6450838206.83103
14-13	25123892040.3748	15012157870.6397
14-15	48142541421.7978	91799759092.8318
14-16	45284392140.9171	84462312666.8538
14-17	96863642011.9255	239540576290.787
14-19	170161355934.288	176124713227.967
14-21	138797814935.012	388014770512.985
14-25	152014815228.507	229939963588.285
14-26	270827545162.436	151980918359.956
14-27	47671105860.8496	65744486695.667
14-29	60289609631.9058	46726905169.5713
14-30	117497257805.151	168504725006.075
14-31	98583752483.4833	127535908233.836
14-33	93747288143.8248	190328625522.455
14-35	310024402422.599	243958772589.478
14-38	32080195171.851	50813227798.8363
14-40	118309900990.274	203515393194.646
14-41	128640496190.261	246767681967.468
14-42	55552984935.1276	81116391666.5213
15-01	99794370655.848	167858817180.54
15-02	66398430002.4606	79537657523.3797
15-03	3234545.74142511	6191312.03392561
15-05	39501640.1208825	25256051.4321287
15-07	102353644677.422	155902392892.162
15-10	47753674879.0655	83301950314.0943
15-12	63508832024.5631	92731729112.7621
15-13	33208488799.6222	45643772606.1821
15-15	38773253675.9236	61890002478.1704
15-16	15035314732.0318	29560939680.426
15-17	10286138745.8608	22160616078.9548
15-19	25179208584.0092	74769857567.2651
15-21	40254881260.4985	56359342569.0413
15-25	41416826861.5791	60066753323.3994
15-26	39684137266.8104	40454651406.4153
15-27	72188010818.3658	130692644727.298
15-29	63835950228.3247	150958501348.336
15-30	55885857818.2686	93724114544.9638
15-31	81546146975.8632	104904537559.544
15-33	100578499420.589	150261346412.149
15-35	493590779177.781	456885584676.691
15-38	152798473306.145	182881269997.848
15-40	14881136911.4207	28600233381.6049
15-41	13077607911.2722	12623084950.9703
15-42	420584222935.626	294949555296.861
