B_cellulosilyticus_WH2	B_caccae	B_vulgatus	B_thetaiotaomicron	B_ovatus	R_obeum	B_uniformis	P_distasonis	C_scindens	C_aerofaciens	C_spiroforme
K06113	K07079	K06287	K06217	K06180	K07173	K06889	K06201	K07173	K21471	
K06131	K07082	K06373	K06223	K06187	K07216	K06891	K06207	K07175	K21498	
K06142	K07085	K06381	K06287	K06188	K07238	K06911	K06213	K07216	K21600	
K06143	K07091	K06400	K06373	K06199	K07240	K06920	K06217	K07219	K21636	
K06147	K07095	K06518	K06381	K06200	K07258	K06921	K06218	K07238	K21903	
K06153	K07098	K06861	K06518	K06201	K07271	K06925	K06223	K07240	K21929	
K06158	K07106	K06871	K06861	K06207	K07282	K06926	K06281	K07258	K22015	
K06167	K07107	K06872	K06871	K06213	K07284	K06941	K06282	K07271	K22132	
K06168	K07114	K06881	K06872	K06217	K07301	K06942	K06287	K07284	K22293	
K06173	K07118	K06885	K06881	K06223	K07315	K06949	K06373	K07301		
K06177	K07126	K06889	K06885	K06287	K07321	K06950	K06381	K07318		
K06178	K07132	K06891	K06889	K06373	K07335	K06959	K06518	K07319		
K06180	K07133	K06909	K06894	K06381	K07391	K06966	K06859	K07343		
K06187	K07137	K06911	K06897	K06518	K07402	K06969	K06861	K07391		
K06199	K07139	K06919	K06911	K06861	K07404	K06973	K06871	K07402		
K06200	K07148	K06920	K06920	K06871	K07407	K06997	K06872	K07443		
K06201	K07164	K06925	K06921	K06872	K07444	K07001	K06881	K07444		
K06207	K07175	K06926	K06925	K06881	K07447	K07005	K06889	K07447		
K06213	K07192	K06941	K06934	K06885	K07448	K07011	K06894	K07451		
K06217	K07217	K06942	K06941	K06889	K07451	K07014	K06903	K07452		
K06287	K07220	K06949	K06942	K06894	K07456	K07017	K06907	K07456		
K06373	K07240	K06950	K06949	K06897	K07461	K07025	K06909	K07458		
K06381	K07259	K06959	K06950	K06909	K07462	K07027	K06911	K07459		
K06518	K07263	K06966	K06959	K06911	K07464	K07037	K06915	K07460		
K06861	K07271	K06969	K06966	K06920	K07467	K07043	K06920	K07461		
K06871	K07273	K06973	K06969	K06921	K07469	K07052	K06921	K07462		
K06872	K07277	K06975	K06970	K06925	K07473	K07056	K06925	K07464		
K06881	K07282	K06978	K06973	K06941	K07478	K07058	K06941	K07473		
K06885	K07289	K06989	K06975	K06942	K07483	K07078	K06942	K07478		
K06889	K07301	K06997	K06996	K06949	K07484	K07079	K06949	K07480		
K06891	K07304	K07001	K06997	K06950	K07491	K07082	K06950	K07484		
K06894	K07315	K07003	K07001	K06959	K07493	K07085	K06959	K07491		
K06897	K07318	K07011	K07005	K06966	K07496	K07091	K06966	K07507		
K06903	K07322	K07017	K07011	K06969	K07497	K07095	K06969	K07533		
K06904	K07386	K07025	K07025	K06970	K07502	K07098	K06973	K07560		
K06907	K07387	K07027	K07027	K06973	K07560	K07106	K06975	K07566		
K06909	K07391	K07037	K07031	K06975	K07566	K07107	K06988	K07568		
K06911	K07404	K07043	K07037	K06989	K07568	K07114	K06996	K07574		
K06920	K07405	K07045	K07039	K06996	K07574	K07126	K06997	K07576		
K06921	K07407	K07052	K07043	K06997	K07576	K07133	K07001	K07584		
K06925	K07443	K07053	K07045	K07001	K07584	K07137	K07005	K07636		
K06941	K07444	K07056	K07052	K07003	K07590	K07138	K07011	K07646		
K06942	K07447	K07058	K07053	K07005	K07636	K07139	K07012	K07658		
K06949	K07452	K07075	K07056	K07011	K07646	K07154	K07017	K07667		
K06950	K07456	K07078	K07058	K07025	K07652	K07164	K07025	K07699		
K06959	K07460	K07079	K07071	K07027	K07658	K07173	K07027	K07705		
K06966	K07462	K07082	K07075	K07031	K07667	K07175	K07037	K07717		
K06969	K07478	K07085	K07078	K07037	K07668	K07214	K07043	K07718		
K06973	K07484	K07091	K07079	K07043	K07694	K07220	K07052	K07719		
K06975	K07497	K07095	K07082	K07045	K07699	K07240	K07056	K07720		
K06989	K07504	K07096	K07085	K07052	K07718	K07259	K07058	K07727		
K06996	K07506	K07098	K07089	K07056	K07720	K07263	K07071	K07729		
K06997	K07560	K07106	K07091	K07058	K07726	K07271	K07075	K07736		
K07000	K07566	K07107	K07095	K07071	K07729	K07273	K07078	K07738		
K07001	K07568	K07114	K07098	K07075	K07738	K07277	K07079	K07742		
K07003	K07588	K07126	K07106	K07078	K07742	K07282	K07082	K07755		
K07004	K07636	K07133	K07107	K07079	K07814	K07301	K07085	K07816		
K07005	K07646	K07137	K07114	K07082	K07816	K07304	K07089	K07862		
K07010	K07657	K07139	K07115	K07085	K07862	K07319	K07091	K07979		
K07011	K07658	K07148	K07118	K07091	K07979	K07322	K07095	K08094		
K07017	K07713	K07154	K07126	K07095	K08170	K07334	K07098	K08166		
K07025	K07735	K07164	K07133	K07098	K08234	K07386	K07106	K08177		
K07027	K07791	K07173	K07137	K07106	K08301	K07387	K07107	K08298		
K07037	K07792	K07192	K07139	K07107	K08303	K07391	K07114	K08303		
K07043	K08138	K07214	K07148	K07110	K08309	K07404	K07124	K08316		
K07045	K08156	K07220	K07164	K07114	K08316	K07405	K07133	K08384		
K07052	K08169	K07221	K07175	K07115	K08384	K07407	K07137	K08483		
K07053	K08191	K07240	K07192	K07118	K08483	K07443	K07138	K08591		
K07056	K08218	K07248	K07220	K07126	K08591	K07444	K07139	K08600		
K07058	K08223	K07259	K07223	K07133	K08600	K07447	K07148	K08744		
K07075	K08224	K07263	K07240	K07137	K08744	K07456	K07154	K08963		
K07078	K08282	K07271	K07257	K07139	K08884	K07459	K07164	K08974		
K07079	K08289	K07273	K07259	K07148	K08978	K07460	K07175	K08978		
K07082	K08295	K07277	K07263	K07154	K08998	K07462	K07214	K08981		
K07085	K08301	K07282	K07270	K07164	K09022	K07478	K07223	K09002		
K07091	K08303	K07301	K07273	K07175	K09116	K07507	K07231	K09013		
K07095	K08307	K07304	K07277	K07192	K09117	K07560	K07240	K09022		
K07098	K08314	K07322	K07282	K07214	K09121	K07566	K07248	K09116		
K07101	K08316	K07386	K07289	K07220	K09157	K07568	K07259	K09117		
K07106	K08325	K07387	K07301	K07221	K09384	K07588	K07263	K09121		
K07107	K08364	K07391	K07304	K07223	K09458	K07636	K07271	K09157		
K07114	K08641	K07404	K07318	K07240	K09691	K07646	K07277	K09163		
K07118	K08676	K07405	K07322	K07259	K09692	K07657	K07282	K09458		
K07133	K08678	K07407	K07343	K07263	K09693	K07658	K07301	K09472		
K07137	K08884	K07443	K07386	K07271	K09698	K07697	K07302	K09684		
K07138	K08961	K07444	K07387	K07273	K09702	K07698	K07315	K09690		
K07139	K08968	K07447	K07391	K07277	K09703	K07710	K07316	K09696		
K07148	K08978	K07456	K07404	K07282	K09706	K07713	K07319	K09698		
K07154	K08999	K07460	K07405	K07289	K09710	K07727	K07322	K09707		
K07164	K09011	K07462	K07407	K07301	K09747	K07735	K07386	K09710		
K07175	K09013	K07474	K07443	K07304	K09748	K07791	K07387	K09747		
K07192	K09014	K07478	K07444	K07319	K09759	K07792	K07391	K09748		
K07214	K09015	K07484	K07447	K07322	K09761	K08138	K07397	K09759		
K07220	K09022	K07497	K07456	K07386	K09762	K08139	K07403	K09761		
K07221	K09065	K07507	K07460	K07387	K09765	K08156	K07405	K09762		
K07223	K09117	K07560	K07462	K07391	K09772	K08191	K07407	K09765		
K07240	K09125	K07566	K07478	K07404	K09777	K08218	K07443	K09768		
K07257	K09181	K07568	K07483	K07405	K09779	K08223	K07444	K09772		
K07259	K09457	K07588	K07484	K07407	K09787	K08224	K07447	K09778		
K07263	K09458	K07636	K07497	K07443	K09811	K08289	K07456	K09779		
K07273	K09650	K07646	K07507	K07444	K09812	K08295	K07458	K09787		
K07277	K09702	K07657	K07560	K07447	K09815	K08301	K07460	K09811		
K07282	K09710	K07658	K07566	K07456	K09816	K08303	K07462	K09812		
K07301	K09748	K07713	K07568	K07458	K09817	K08307	K07464	K09825		
K07304	K09758	K07727	K07588	K07460	K09820	K08314	K07478	K09861		
K07315	K09760	K07735	K07636	K07462	K09825	K08316	K07492	K09888		
K07317	K09761	K07741	K07646	K07474	K09861	K08364	K07507	K09903		
K07322	K09789	K07791	K07657	K07478	K09888	K08641	K07560	K09936		
K07334	K09790	K07792	K07658	K07483	K09903	K08651	K07566	K09951		
K07386	K09793	K08138	K07665	K07484	K09936	K08676	K07568	K09988		
K07387	K09807	K08156	K07713	K07487	K09988	K08678	K07588	K10112		
K07391	K09808	K08169	K07727	K07497	K10012	K08717	K07636	K10117		
K07404	K09810	K08191	K07729	K07506	K10112	K08838	K07646	K10118		
K07405	K09811	K08218	K07735	K07507	K10117	K08884	K07657	K10119		
K07407	K09812	K08224	K07783	K07560	K10118	K08961	K07658	K10121		
K07443	K09815	K08282	K07791	K07566	K10119	K08968	K07665	K10188		
K07444	K09816	K08289	K07792	K07568	K10120	K08978	K07713	K10189		
K07447	K09817	K08295	K08138	K07588	K10121	K08998	K07722	K10190		
K07451	K09825	K08301	K08139	K07636	K10188	K08999	K07727	K10202		
K07456	K09861	K08303	K08156	K07646	K10189	K09001	K07729	K10206		
K07460	K09888	K08307	K08169	K07657	K10190	K09011	K07735	K10217		
K07462	K09903	K08314	K08191	K07658	K10200	K09013	K07787	K10439		
K07478	K09922	K08316	K08218	K07665	K10201	K09014	K07791	K10440		
K07484	K09924	K08325	K08223	K07713	K10202	K09015	K07792	K10441		
K07507	K09955	K08641	K08224	K07735	K10206	K09022	K07798	K10540		
K07552	K09973	K08676	K08282	K07783	K10254	K09065	K08138	K10541		
K07560	K09988	K08678	K08289	K07791	K10439	K09117	K08156	K10542		
K07566	K10026	K08679	K08295	K07792	K10440	K09125	K08169	K10670		
K07568	K10112	K08884	K08301	K08138	K10441	K09181	K08191	K10671		
K07588	K10206	K08968	K08303	K08139	K10542	K09457	K08217	K10672		
K07636	K10536	K08978	K08307	K08156	K10543	K09458	K08218	K10773		
K07646	K10563	K08998	K08314	K08169	K10546	K09650	K08223	K10793		
K07657	K10716	K08999	K08316	K08191	K10547	K09680	K08289	K10794		
K07658	K10742	K09011	K08325	K08218	K10548	K09704	K08295	K10795		
K07665	K10764	K09013	K08364	K08222	K10555	K09710	K08301	K10796		
K07713	K10773	K09014	K08641	K08223	K10560	K09748	K08303	K10823		
K07727	K10778	K09015	K08676	K08224	K10561	K09758	K08307	K10844		
K07735	K10947	K09022	K08678	K08282	K10562	K09760	K08314	K10907		
K07741	K11065	K09065	K08679	K08289	K10716	K09761	K08316	K10947		
K07783	K11068	K09117	K08884	K08295	K10773	K09765	K08321	K11041		
K08138	K11069	K09125	K08961	K08301	K10820	K09789	K08325	K11068		
K08139	K11070	K09457	K08968	K08303	K10823	K09790	K08364	K11069		
K08156	K11071	K09458	K08978	K08307	K10844	K09793	K08676	K11071		
K08169	K11072	K09474	K08998	K08314	K10947	K09797	K08678	K11072		
K08191	K11085	K09650	K08999	K08316	K10974	K09808	K08884	K11145		
K08217	K11105	K09680	K09011	K08325	K11068	K09809	K08963	K11175		
K08218	K11175	K09690	K09013	K08364	K11069	K09810	K08968	K11184		
K08223	K11381	K09691	K09014	K08641	K11070	K09811	K08974	K11189		
K08224	K11527	K09710	K09015	K08676	K11071	K09812	K08978	K11358		
K08289	K11537	K09748	K09022	K08678	K11072	K09815	K08998	K11534		
K08295	K11645	K09758	K09065	K08679	K11085	K09816	K08999	K11645		
K08301	K11707	K09760	K09117	K08884	K11145	K09817	K09011	K11749		
K08303	K11717	K09761	K09125	K08961	K11175	K09825	K09013	K11753		
K08307	K11720	K09765	K09181	K08968	K11184	K09861	K09014	K11754		
K08314	K11741	K09789	K09457	K08978	K11189	K09888	K09015	K11755		
K08316	K11748	K09790	K09458	K08998	K11201	K09903	K09022	K11928		
K08321	K11749	K09797	K09459	K08999	K11358	K09922	K09065	K11991		
K08364	K11751	K09808	K09469	K09011	K11749	K09955	K09117	K12132		
K08641	K11752	K09810	K09650	K09013	K11751	K09973	K09125	K12257		
K08646	K11753	K09811	K09702	K09014	K11752	K09992	K09181	K12308		
K08676	K11754	K09812	K09704	K09015	K11753	K10026	K09457	K12410		
K08678	K11755	K09815	K09710	K09022	K11754	K10112	K09458	K12506		
K08717	K11927	K09816	K09748	K09065	K11755	K10206	K09650	K12510		
K08884	K11991	K09817	K09758	K09117	K11894	K10536	K09680	K12511		
K08961	K12132	K09825	K09760	K09125	K11913	K10563	K09702	K12527		
K08968	K12251	K09861	K09761	K09181	K11928	K10742	K09704	K12573		
K08974	K12257	K09888	K09789	K09457	K11991	K10764	K09710	K12574		
K08978	K12267	K09903	K09790	K09458	K12132	K10773	K09748	K12700		
K08999	K12308	K09922	K09793	K09650	K12256	K10778	K09758	K12941		
K09011	K12339	K09939	K09807	K09702	K12257	K10947	K09760	K12950		
K09013	K12340	K09955	K09808	K09704	K12308	K11065	K09761	K12952		
K09014	K12343	K10026	K09809	K09710	K12373	K11068	K09789	K12992		
K09015	K12373	K10112	K09810	K09748	K12410	K11069	K09790	K13038		
K09022	K12410	K10206	K09811	K09758	K12452	K11070	K09793	K13280		
K09065	K12524	K10439	K09812	K09760	K12506	K11071	K09807	K13292		
K09117	K12573	K10536	K09815	K09761	K12510	K11072	K09808	K13479		
K09125	K12585	K10716	K09816	K09765	K12511	K11085	K09809	K13542		
K09181	K12942	K10742	K09817	K09789	K12527	K11105	K09810	K13653		
K09457	K12990	K10764	K09825	K09790	K12573	K11175	K09811	K13789		
K09458	K13038	K10773	K09861	K09793	K12574	K11527	K09812	K13818		
K09607	K13043	K10774	K09888	K09807	K12700	K11537	K09815	K13940		
K09650	K13378	K10778	K09903	K09808	K12941	K11645	K09816	K13993		
K09680	K13421	K10947	K09922	K09810	K12950	K11707	K09817	K14080		
K09702	K13497	K11031	K09924	K09811	K12952	K11717	K09861	K14155		
K09704	K13566	K11065	K09939	K09812	K12962	K11720	K09888	K14162		
K09705	K13641	K11068	K09955	K09815	K12992	K11748	K09903	K14170		
K09710	K13652	K11069	K09964	K09816	K12997	K11749	K09922	K14392		
K09748	K13668	K11070	K09973	K09817	K13010	K11751	K09951	K14441		
K09758	K13694	K11071	K10026	K09825	K13012	K11752	K09955	K14445		
K09760	K13747	K11072	K10112	K09861	K13038	K11753	K09988	K14540		
K09761	K13788	K11085	K10206	K09888	K13292	K11754	K10026	K14742		
K09765	K13789	K11105	K10536	K09903	K13479	K11755	K10112	K14761		
K09789	K13821	K11175	K10563	K09922	K13497	K11927	K10206	K15022		
K09790	K14058	K11527	K10716	K09924	K13542	K11991	K10536	K15342		
K09793	K14155	K11537	K10742	K09939	K13572	K12132	K10563	K15460		
K09807	K14260	K11645	K10764	K09955	K13693	K12251	K10764	K15533		
K09808	K14261	K11707	K10773	K09973	K13747	K12257	K10773	K15552		
K09809	K14441	K11717	K10778	K10026	K13789	K12267	K10778	K15554		
K09810	K14445	K11720	K10907	K10112	K13810	K12308	K10947	K15581		
K09811	K14652	K11749	K10947	K10206	K13829	K12339	K11031	K15583		
K09812	K14742	K11751	K11065	K10536	K13920	K12340	K11065	K15633		
K09815	K15460	K11752	K11068	K10716	K13922	K12343	K11068	K15635		
K09816	K15532	K11753	K11069	K10742	K13940	K12373	K11069	K15738		
K09817	K15600	K11754	K11070	K10764	K13950	K12410	K11070	K15986		
K09825	K15633	K11755	K11071	K10773	K13993	K12524	K11071	K15987		
K09861	K15635	K11927	K11072	K10774	K14138	K12573	K11072	K16248		
K09888	K15669	K11934	K11085	K10778	K14162	K12585	K11085	K16511		
K09903	K15738	K11991	K11105	K10947	K14170	K12942	K11105	K16785		
K09922	K15876	K12132	K11175	K11045	K14260	K13010	K11175	K16786		
K09924	K15921	K12251	K11381	K11065	K14441	K13015	K11381	K16787		
K09925	K15923	K12257	K11527	K11068	K14540	K13016	K11527	K16789		
K09939	K15977	K12267	K11537	K11069	K14591	K13018	K11645	K16898		
K09955	K15987	K12308	K11645	K11070	K14652	K13019	K11707	K16899		
K09964	K16053	K12339	K11707	K11071	K14742	K13038	K11717	K16923		
K09973	K16055	K12340	K11717	K11072	K14761	K13043	K11720	K16926		
K09988	K16089	K12343	K11720	K11085	K15023	K13327	K11741	K16951		
K09992	K16153	K12373	K11741	K11105	K15024	K13378	K11749	K16962		
K10026	K16212	K12410	K11749	K11175	K15256	K13421	K11751	K16963		
K10112	K16345	K12524	K11751	K11381	K15372	K13497	K11752	K17202		
K10206	K16363	K12573	K11752	K11527	K15460	K13532	K11753	K17203		
K10536	K17103	K12585	K11753	K11537	K15496	K13533	K11754	K17204		
K10563	K17108	K12942	K11754	K11645	K15533	K13566	K11755	K17213		
K10716	K17324	K13002	K11755	K11707	K15582	K13652	K11927	K17313		
K10742	K17686	K13038	K11927	K11717	K15583	K13663	K11934	K17398		
K10764	K17722	K13043	K11991	K11720	K15633	K13668	K11991	K17686		
K10773	K17758	K13051	K12132	K11741	K15738	K13694	K12132	K17734		
K10774	K17759	K13378	K12251	K11748	K15923	K13747	K12251	K17758		
K10778	K17828	K13421	K12257	K11749	K15984	K13788	K12257	K17759		
K10947	K17836	K13497	K12267	K11751	K15986	K13789	K12267	K17828		
K11065	K18118	K13566	K12308	K11752	K16248	K13924	K12308	K17838		
K11068	K18138	K13668	K12339	K11753	K16291	K13963	K12339	K17992		
K11069	K18139	K13694	K12340	K11754	K16511	K13990	K12340	K18220		
K11070	K18234	K13747	K12343	K11755	K16698	K13993	K12373	K18234		
K11071	K18300	K13788	K12373	K11927	K16785	K14058	K12410	K18330		
K11072	K18330	K13789	K12410	K11991	K16786	K14155	K12506	K18331		
K11085	K18331	K13821	K12524	K12132	K16787	K14260	K12524	K18332		
K11105	K18332	K13990	K12573	K12251	K16789	K14261	K12573	K18344		
K11175	K18369	K13993	K12585	K12257	K16898	K14379	K12585	K18345		
K11381	K18682	K14058	K12942	K12267	K16899	K14441	K12960	K18346		
K11527	K18691	K14155	K12995	K12308	K16923	K14623	K12984	K18349		
K11537	K18707	K14260	K13004	K12339	K16924	K14652	K12995	K18350		
K11645	K18785	K14261	K13015	K12340	K16950	K14742	K13015	K18457		
K11707	K18815	K14379	K13038	K12343	K16951	K15460	K13016	K18475		
K11717	K18843	K14441	K13043	K12373	K17073	K15633	K13018	K18672		
K11720	K18928	K14623	K13378	K12410	K17074	K15635	K13038	K18682		
K11741	K18929	K14652	K13421	K12524	K17076	K15669	K13043	K18707		
K11748	K18979	K14742	K13497	K12573	K17103	K15738	K13051	K18783		
K11749	K19049	K15460	K13566	K12585	K17318	K15876	K13421	K18887		
K11751	K19068	K15532	K13652	K12942	K17686	K15894	K13497	K18888		
K11752	K19147	K15633	K13668	K12995	K17734	K15898	K13566	K18889		
K11753	K19222	K15634	K13694	K13002	K17758	K15923	K13641	K18910		
K11754	K19225	K15635	K13747	K13009	K17759	K15977	K13652	K19002		
K11755	K19265	K15640	K13788	K13038	K17828	K15987	K13668	K19055		
K11927	K19271	K15669	K13789	K13043	K17836	K16044	K13694	K19081		
K11960	K19285	K15738	K13821	K13378	K18220	K16053	K13747	K19082		
K11961	K19286	K15923	K13990	K13421	K18332	K16055	K13788	K19092		
K11963	K19302	K15977	K13993	K13497	K18345	K16089	K13789	K19115		
K11991	K19333	K15987	K14058	K13566	K18349	K16153	K13821	K19117		
K12132	K19419	K16053	K14155	K13652	K18350	K16211	K13990	K19118		
K12251	K19431	K16055	K14197	K13668	K18475	K16212	K13993	K19119		
K12257	K19802	K16089	K14260	K13694	K18640	K16213	K14058	K19147		
K12267	K19997	K16153	K14261	K13747	K18672	K16363	K14155	K19157		
K12308	K20265	K16211	K14379	K13788	K18682	K17103	K14260	K19209		
K12339	K20429	K16212	K14415	K13789	K18707	K17108	K14261	K19213		
K12340	K20534	K16345	K14441	K13963	K19055	K17248	K14274	K19221		
K12343	K20866	K16363	K14445	K13990	K19081	K17680	K14441	K19225		
K12373	K20968	K17103	K14652	K13993	K19082	K17686	K14623	K19271		
K12410	K21029	K17213	K14742	K14058	K19157	K17716	K14652	K19294		
K12524	K21063	K17248	K15460	K14155	K19221	K17722	K14742	K19302		
K12573	K21071	K17324	K15532	K14260	K19225	K17758	K15342	K19309		
K12585	K21147	K17680	K15633	K14261	K19265	K17759	K15460	K19340		
K12942	K21379	K17686	K15635	K14415	K19271	K17828	K15633	K19350		
K12990	K21470	K17716	K15669	K14441	K19302	K17836	K15635	K19814		
K13004	K21556	K17722	K15725	K14652	K19689	K18118	K15725	K19955		
K13010	K21571	K17758	K15726	K14742	K19955	K18138	K15726	K20037		
K13015	K21572	K17759	K15727	K15460	K20038	K18139	K15727	K20038		
K13038	K21573	K17828	K15738	K15532	K20074	K18234	K15738	K20074		
K13043	K21636	K17836	K15876	K15633	K20116	K18300	K15876	K20444		
K13057	K21739	K18118	K15923	K15635	K20117	K18369	K15915	K20452		
K13327	K22130	K18138	K15977	K15725	K20118	K18430	K15923	K20453		
K13378	K22132	K18139	K15987	K15726	K20444	K18682	K15977	K20460		
K13421	K22405	K18197	K16052	K15727	K20487	K18691	K15987	K20461		
K13497	K22468	K18300	K16053	K15738	K20488	K18707	K16053	K20487		
K13525		K18330	K16089	K15876	K20489	K18785	K16055	K20488		
K13566		K18369	K16153	K15921	K20490	K18815	K16089	K20490		
K13652		K18427	K16212	K15923	K20491	K18828	K16153	K20491		
K13663		K18430	K16264	K15924	K20492	K18930	K16211	K20492		
K13664		K18581	K16345	K15977	K20534	K18954	K16212	K20534		
K13668		K18682	K16363	K15987	K20810	K19005	K16213	K20810		
K13694		K18691	K16936	K16053	K20972	K19049	K16345	K21028		
K13747		K18707	K16937	K16055	K21009	K19068	K16363	K21029		
K13788		K18785	K17103	K16089	K21011	K19222	K16695	K21071		
K13789		K18815	K17108	K16153	K21012	K19265	K16937	K21147		
K13963		K18928	K17324	K16212	K21029	K19271	K17103	K21276		
K13990		K18929	K17680	K16213	K21071	K19285	K17218	K21355		
K13993		K19068	K17686	K16264	K21140	K19286	K17248	K21467		
K14058		K19222	K17716	K16345	K21395	K19302	K17686	K21471		
K14155		K19265	K17722	K16363	K21467	K19354	K17716	K21472		
K14260		K19271	K17758	K16695	K21471	K19355	K17722	K21479		
K14261		K19285	K17759	K16922	K21472	K19419	K17723	K21576		
K14379		K19286	K17828	K17103	K21479	K19802	K17758	K21577		
K14415		K19302	K17836	K17250	K21600	K19955	K17759	K21600		
K14441		K19340	K18118	K17324	K21636	K20074	K17810	K21636		
K14652		K19789	K18138	K17680	K21903	K20265	K17828	K21744		
K14742		K19955	K18139	K17686	K22010	K20530	K17992	K21903		
K15460		K19997	K18234	K17722	K22132	K20866	K18118	K21910		
K15531		K20265	K18300	K17758	K22230	K20968	K18138	K22010		
K15532		K20534	K18330	K17759	K22278	K21029	K18139	K22024		
K15633		K20862	K18331	K17828	K22397	K21071	K18300	K22129		
K15635		K20866	K18332	K17836	K22445	K21147	K18330	K22132		
K15725		K21029	K18369	K18118		K21478	K18331	K22278		
K15726		K21063	K18581	K18138		K21498	K18332	K22335		
K15727		K21071	K18682	K18139		K21556	K18369	K22339		
K15738		K21147	K18691	K18197		K21571	K18427	K22340		
K15855		K21364	K18707	K18234		K21572	K18574	K22352		
K15876		K21556	K18785	K18300		K21573	K18682	K22477		
K15915		K21557	K18815	K18330		K21574	K18691			
K15921		K21571	K18928	K18331		K21575	K18707			
K15923		K21572	K18929	K18332		K21636	K18785			
K15924		K21573	K18979	K18369		K21681	K18828			
K15977		K21574	K19049	K18581		K21739	K18831			
K15987		K21575	K19050	K18682		K22132	K18910			
K16044		K21636	K19052	K18691		K22405	K18928			
K16053		K22132	K19068	K18707			K18929			
K16089		K22227	K19222	K18785			K18930			
K16153		K22278	K19225	K18815			K18954			
K16211		K22405	K19265	K18831			K18979			
K16212			K19271	K18928			K19068			
K16213			K19285	K18929			K19115			
K16264			K19286	K19050			K19117			
K16363			K19302	K19052			K19118			
K16435			K19340	K19055			K19119			
K16710			K19519	K19166			K19157			
K17103			K19802	K19221			K19166			
K17108			K19997	K19222			K19171			
K17248			K20074	K19225			K19222			
K17250			K20265	K19265			K19265			
K17680			K20429	K19271			K19271			
K17686			K20534	K19285			K19285			
K17716			K20866	K19286			K19286			
K17722			K21029	K19302			K19302			
K17758			K21055	K19340			K19333			
K17759			K21063	K19355			K19355			
K17810			K21065	K19519			K19418			
K17828			K21071	K19789			K19419			
K17836			K21132	K19802			K19431			
K18118			K21147	K19955			K19789			
K18138			K21279	K19997			K20074			
K18139			K21556	K20074			K20265			
K18197			K21557	K20265			K20276			
K18220			K21571	K20276			K20429			
K18234			K21572	K20866			K20534			
K18300			K21573	K20885			K20862			
K18330			K21574	K21029			K20866			
K18331			K21575	K21063			K20968			
K18332			K21636	K21065			K21063			
K18369			K21681	K21071			K21065			
K18581			K21739	K21147			K21071			
K18682			K21749	K21470			K21379			
K18691			K21750	K21556			K21471			
K18707			K22130	K21557			K21556			
K18785			K22132	K21571			K21571			
K18815			K22405	K21572			K21572			
K18831			K22468	K21573			K21573			
K18930				K21574			K21575			
K18954				K21575			K21636			
K19005				K21636			K21681			
K19049				K21739			K21739			
K19050				K22130			K21814			
K19052				K22132			K22132			
K19055				K22278			K22230			
K19068				K22405			K22396			
K19158				K22468			K22405			
K19159										
K19166										
K19222										
K19265										
K19271										
K19285										
K19286										
K19302										
K19340										
K19355										
K19425										
K19427										
K19431										
K19551										
K19802										
K19955										
K19997										
K20074										
K20265										
K20429										
K20444										
K20866										
K20885										
K21005										
K21055										
K21065										
K21071										
K21279										
K21364										
K21449										
K21498										
K21556										
K21571										
K21572										
K21573										
K21574										
K21575										
K21636										
K21739										
K21749										
K21750										
K22130										
K22132										
K22278										
K22405										
